Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization30-5it,chem,3798.89529901,901834
2,Particle-swarp-optimization30-5it,chem,3702.04310801,898312
3,Particle-swarp-optimization30-5it,chem,3772.51656701,907088
4,Particle-swarp-optimization30-5it,chem,3844.51523601,907798
5,Particle-swarp-optimization30-5it,chem,3944.16235001,911432
1,Particle-swarp-optimization30-5it,chem-1,3740.69288101,901834
2,Particle-swarp-optimization30-5it,chem-1,3720.39593201,898312
3,Particle-swarp-optimization30-5it,chem-1,3765.52166001,907088
4,Particle-swarp-optimization30-5it,chem-1,3784.09144301,907798
5,Particle-swarp-optimization30-5it,chem-1,3758.67622801,911432
1,Particle-swarp-optimization30-5it,chembis,1904.29555001,480502
2,Particle-swarp-optimization30-5it,chembis,1947.63922701,480548
3,Particle-swarp-optimization30-5it,chembis,1988.20859801,480162
4,Particle-swarp-optimization30-5it,chembis,2071.06417201,480548
5,Particle-swarp-optimization30-5it,chembis,2028.82223001,480162
1,Particle-swarp-optimization30-5it,ex6_1_3,153.766694001,18868
2,Particle-swarp-optimization30-5it,ex6_1_3,148.881763001,15206
3,Particle-swarp-optimization30-5it,ex6_1_3,154.154790001,15520
4,Particle-swarp-optimization30-5it,ex6_1_3,157.305979001,17372
5,Particle-swarp-optimization30-5it,ex6_1_3,182.107920001,19128
1,Particle-swarp-optimization30-5it,ex6_2_10,897.814206001,331292
2,Particle-swarp-optimization30-5it,ex6_2_10,911.286382001,331292
3,Particle-swarp-optimization30-5it,ex6_2_10,904.185255001,331118
4,Particle-swarp-optimization30-5it,ex6_2_10,910.060330001,331118
5,Particle-swarp-optimization30-5it,ex6_2_10,905.684426001,331118
1,Particle-swarp-optimization30-5it,ex8_5_1bis,18.3561980001,4174
2,Particle-swarp-optimization30-5it,ex8_5_1bis,18.9540690001,4328
3,Particle-swarp-optimization30-5it,ex8_5_1bis,21.3834840001,4716
4,Particle-swarp-optimization30-5it,ex8_5_1bis,19.3326040001,4420
5,Particle-swarp-optimization30-5it,ex8_5_1bis,17.2015800001,3900
1,Particle-swarp-optimization30-5it,sambal,4469.49421401,497474
2,Particle-swarp-optimization30-5it,sambal,4467.89553301,495160
3,Particle-swarp-optimization30-5it,sambal,4468.27459201,498730
4,Particle-swarp-optimization30-5it,sambal,4487.35685501,494476
5,Particle-swarp-optimization30-5it,sambal,4395.75168001,485550
1,Particle-swarp-optimization30-5it,ex6_2_6,100.417997001,60302
2,Particle-swarp-optimization30-5it,ex6_2_6,99.8632950001,59936
3,Particle-swarp-optimization30-5it,ex6_2_6,106.767311001,60090
4,Particle-swarp-optimization30-5it,ex6_2_6,107.768943001,60332
5,Particle-swarp-optimization30-5it,ex6_2_6,109.471223001,60332
1,Particle-swarp-optimization30-5it,ex6_2_8,52.0907170001,31800
2,Particle-swarp-optimization30-5it,ex6_2_8,49.8346080001,31750
3,Particle-swarp-optimization30-5it,ex6_2_8,49.6418610001,31814
4,Particle-swarp-optimization30-5it,ex6_2_8,48.8829490001,31720
5,Particle-swarp-optimization30-5it,ex6_2_8,49.3637730001,31720
1,Particle-swarp-optimization30-5it,ex6_2_9,44.3492380001,21580
2,Particle-swarp-optimization30-5it,ex6_2_9,41.4316870001,21580
3,Particle-swarp-optimization30-5it,ex6_2_9,41.6412940001,21580
4,Particle-swarp-optimization30-5it,ex6_2_9,41.7444130001,21558
5,Particle-swarp-optimization30-5it,ex6_2_9,41.6826240001,21558
1,Particle-swarp-optimization30-5it,ex6_2_12,13.6547210001,7798
2,Particle-swarp-optimization30-5it,ex6_2_12,13.3588550001,7798
3,Particle-swarp-optimization30-5it,ex6_2_12,13.5837830001,7798
4,Particle-swarp-optimization30-5it,ex6_2_12,13.4723570001,7782
5,Particle-swarp-optimization30-5it,ex6_2_12,13.6060240001,7782
1,Particle-swarp-optimization30-5it,ex8_4_4bis,149.995509001,78510
2,Particle-swarp-optimization30-5it,ex8_4_4bis,149.999748001,77108
3,Particle-swarp-optimization30-5it,ex8_4_4bis,147.468118001,76390
4,Particle-swarp-optimization30-5it,ex8_4_4bis,147.879918001,77150
5,Particle-swarp-optimization30-5it,ex8_4_4bis,146.170582001,75862
1,Particle-swarp-optimization30-5it,ex14_2_7,98.9009880001,8684
2,Particle-swarp-optimization30-5it,ex14_2_7,131.209237001,11658
3,Particle-swarp-optimization30-5it,ex14_2_7,141.224655001,12380
4,Particle-swarp-optimization30-5it,ex14_2_7,166.057950001,14532
5,Particle-swarp-optimization30-5it,ex14_2_7,144.990287001,12932
1,Particle-swarp-optimization30-5it,ex6_1_3bis,25.4269450001,11184
2,Particle-swarp-optimization30-5it,ex6_1_3bis,25.5993390001,11184
3,Particle-swarp-optimization30-5it,ex6_1_3bis,25.6442860001,11222
4,Particle-swarp-optimization30-5it,ex6_1_3bis,25.7894110001,11222
5,Particle-swarp-optimization30-5it,ex6_1_3bis,25.3664120001,11138
1,Particle-swarp-optimization30-5it,ex2_1_9,16.8591190001,5060
2,Particle-swarp-optimization30-5it,ex2_1_9,17.0688760001,5218
3,Particle-swarp-optimization30-5it,ex2_1_9,16.3862780001,5074
4,Particle-swarp-optimization30-5it,ex2_1_9,17.1148380001,5214
5,Particle-swarp-optimization30-5it,ex2_1_9,17.9539480001,5444
1,Particle-swarp-optimization30-5it,himmel16,18.2466640001,1578
2,Particle-swarp-optimization30-5it,himmel16,39.0593520001,3604
3,Particle-swarp-optimization30-5it,himmel16,37.8267000001,3316
4,Particle-swarp-optimization30-5it,himmel16,39.5202190001,3750
5,Particle-swarp-optimization30-5it,himmel16,57.7575540001,4926
1,Particle-swarp-optimization30-5it,ex2_1_7,26.6982860001,2422
2,Particle-swarp-optimization30-5it,ex2_1_7,26.4653160001,2464
3,Particle-swarp-optimization30-5it,ex2_1_7,25.9885340001,2390
4,Particle-swarp-optimization30-5it,ex2_1_7,26.2070320001,2396
5,Particle-swarp-optimization30-5it,ex2_1_7,26.5703430001,2402
1,Particle-swarp-optimization30-5it,ex2_1_8,21.6146270001,1636
2,Particle-swarp-optimization30-5it,ex2_1_8,23.9455250001,1812
3,Particle-swarp-optimization30-5it,ex2_1_8,22.6497960001,1702
4,Particle-swarp-optimization30-5it,ex2_1_8,20.7734630001,1580
5,Particle-swarp-optimization30-5it,ex2_1_8,24.4620430001,1854
1,Particle-swarp-optimization30-5it,launch,7.40807700001,182
2,Particle-swarp-optimization30-5it,launch,8.81202800001,208
3,Particle-swarp-optimization30-5it,launch,5.77468100001,138
4,Particle-swarp-optimization30-5it,launch,6.47697200001,158
5,Particle-swarp-optimization30-5it,launch,11.7729080001,352
1,Particle-swarp-optimization30-5it,"hs088
",276.496784001,1194
2,Particle-swarp-optimization30-5it,"hs088
",251.994469001,1054
3,Particle-swarp-optimization30-5it,"hs088
",261.201704001,1120
4,Particle-swarp-optimization30-5it,"hs088
",252.671893001,1048
5,Particle-swarp-optimization30-5it,"hs088
",268.172039001,1048
1,Particle-swarp-optimization30-5it,"hs093
",901.323171001,402198
2,Particle-swarp-optimization30-5it,"hs093
",884.446101001,393286
3,Particle-swarp-optimization30-5it,"hs093
",990.485973001,462770
4,Particle-swarp-optimization30-5it,"hs093
",858.618200001,377874
5,Particle-swarp-optimization30-5it,"hs093
",881.667450001,390284
1,Particle-swarp-optimization30-5it,"hs102
",5295.81397201,933702
2,Particle-swarp-optimization30-5it,"hs102
",5228.13999101,944928
3,Particle-swarp-optimization30-5it,"hs102
",5374.52736001,954020
4,Particle-swarp-optimization30-5it,"hs102
",5015.51023101,909290
5,Particle-swarp-optimization30-5it,"hs102
",4922.96956301,927464
1,Particle-swarp-optimization30-5it,"hs103
",1373.24593101,254042
2,Particle-swarp-optimization30-5it,"hs103
",1392.38150501,258808
3,Particle-swarp-optimization30-5it,"hs103
",1402.83088001,261092
4,Particle-swarp-optimization30-5it,"hs103
",1384.17734601,256882
5,Particle-swarp-optimization30-5it,"hs103
",1381.98343501,251848
1,Particle-swarp-optimization30-5it,"hs108
",250.661314001,46612
2,Particle-swarp-optimization30-5it,"hs108
",242.276007001,48854
3,Particle-swarp-optimization30-5it,"hs108
",230.116127001,43848
4,Particle-swarp-optimization30-5it,"hs108
",242.114748001,45946
5,Particle-swarp-optimization30-5it,"hs108
",260.212558001,50430
1,Particle-swarp-optimization30-5it,"hs113
",23.3404600001,4112
2,Particle-swarp-optimization30-5it,"hs113
",18.6485210001,3302
3,Particle-swarp-optimization30-5it,"hs113
",21.7630620001,3790
4,Particle-swarp-optimization30-5it,"hs113
",20.7626480001,3556
5,Particle-swarp-optimization30-5it,"hs113
",22.0312320001,3836
1,Particle-swarp-optimization30-5it,"dualc5
",143.223093001,54460
2,Particle-swarp-optimization30-5it,"dualc5
",145.204333001,54626
3,Particle-swarp-optimization30-5it,"dualc5
",145.047000001,55042
4,Particle-swarp-optimization30-5it,"dualc5
",143.805642001,54718
5,Particle-swarp-optimization30-5it,"dualc5
",143.496196001,54890
1,Particle-swarp-optimization30-5it,"dualc8
",935.371291001,188726
2,Particle-swarp-optimization30-5it,"dualc8
",998.046561001,193994
3,Particle-swarp-optimization30-5it,"dualc8
",969.828716001,187542
4,Particle-swarp-optimization30-5it,"dualc8
",973.484125001,187248
5,Particle-swarp-optimization30-5it,"dualc8
",983.471677001,190920
1,Particle-swarp-optimization30-5it,"mistake
",2398.39705601,487490
2,Particle-swarp-optimization30-5it,"mistake
",2369.12618301,460450
3,Particle-swarp-optimization30-5it,"mistake
",2360.30296801,476144
4,Particle-swarp-optimization30-5it,"mistake
",2272.14987201,466254
5,Particle-swarp-optimization30-5it,"mistake
",2404.36414601,487220
1,Particle-swarp-optimization30-5it,"odfits
",60.9840500001,17942
2,Particle-swarp-optimization30-5it,"odfits
",62.7947930001,18184
3,Particle-swarp-optimization30-5it,"odfits
",62.1424530001,18730
4,Particle-swarp-optimization30-5it,"odfits
",61.8856750001,18578
5,Particle-swarp-optimization30-5it,"odfits
",62.6434770001,18488
1,Particle-swarp-optimization30-5it,ex2_1_9bis,180.362725001,74818
2,Particle-swarp-optimization30-5it,ex2_1_9bis,180.838425001,75128
3,Particle-swarp-optimization30-5it,ex2_1_9bis,179.746282001,74912
4,Particle-swarp-optimization30-5it,ex2_1_9bis,180.486670001,74896
5,Particle-swarp-optimization30-5it,ex2_1_9bis,179.153471001,74572
