Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization30,chem,3738.56240601,911402
2,Particle-swarp-optimization30,chem,3705.21576101,898990
3,Particle-swarp-optimization30,chem,3740.75472401,908422
4,Particle-swarp-optimization30,chem,3689.12722001,906760
5,Particle-swarp-optimization30,chem,3357.09209901,911094
1,Particle-swarp-optimization30,chem-1,3628.34238001,911402
2,Particle-swarp-optimization30,chem-1,4207.19700701,898990
3,Particle-swarp-optimization30,chem-1,4201.06891001,908422
4,Particle-swarp-optimization30,chem-1,4169.99215401,906760
5,Particle-swarp-optimization30,chem-1,4353.91099001,911094
1,Particle-swarp-optimization30,chembis,2229.41044801,479904
2,Particle-swarp-optimization30,chembis,2142.73286501,478162
3,Particle-swarp-optimization30,chembis,2216.61480001,492940
4,Particle-swarp-optimization30,chembis,2152.70433601,478162
5,Particle-swarp-optimization30,chembis,2216.37980901,492940
1,Particle-swarp-optimization30,ex6_1_3,252.847511001,27514
2,Particle-swarp-optimization30,ex6_1_3,157.537388001,15276
3,Particle-swarp-optimization30,ex6_1_3,164.265401001,16584
4,Particle-swarp-optimization30,ex6_1_3,135.682943001,14414
5,Particle-swarp-optimization30,ex6_1_3,165.512969001,16530
1,Particle-swarp-optimization30,ex6_2_10,936.963024001,330974
2,Particle-swarp-optimization30,ex6_2_10,933.167438001,330974
3,Particle-swarp-optimization30,ex6_2_10,932.302236001,330974
4,Particle-swarp-optimization30,ex6_2_10,956.207562001,330974
5,Particle-swarp-optimization30,ex6_2_10,940.328284001,330758
1,Particle-swarp-optimization30,ex8_5_1bis,21.9082250001,4324
2,Particle-swarp-optimization30,ex8_5_1bis,22.7436690001,4606
3,Particle-swarp-optimization30,ex8_5_1bis,20.5534610001,4194
4,Particle-swarp-optimization30,ex8_5_1bis,21.1823200001,4190
5,Particle-swarp-optimization30,ex8_5_1bis,20.7093260001,4226
1,Particle-swarp-optimization30,sambal,4619.78219601,498068
2,Particle-swarp-optimization30,sambal,4925.39886601,519066
3,Particle-swarp-optimization30,sambal,5344.13607801,538474
4,Particle-swarp-optimization30,sambal,4584.47928901,467380
5,Particle-swarp-optimization30,sambal,4809.15411801,492624
1,Particle-swarp-optimization30,ex6_2_6,106.362544001,60208
2,Particle-swarp-optimization30,ex6_2_6,106.757958001,60334
3,Particle-swarp-optimization30,ex6_2_6,105.200741001,59848
4,Particle-swarp-optimization30,ex6_2_6,106.388605001,60124
5,Particle-swarp-optimization30,ex6_2_6,105.391680001,60202
1,Particle-swarp-optimization30,ex6_2_8,52.2552680001,31744
2,Particle-swarp-optimization30,ex6_2_8,52.2352650001,31790
3,Particle-swarp-optimization30,ex6_2_8,52.4445640001,31836
4,Particle-swarp-optimization30,ex6_2_8,52.0353330001,31648
5,Particle-swarp-optimization30,ex6_2_8,52.2453320001,31836
1,Particle-swarp-optimization30,ex6_2_9,44.7302800001,21502
2,Particle-swarp-optimization30,ex6_2_9,44.7736980001,21502
3,Particle-swarp-optimization30,ex6_2_9,44.8978000001,21502
4,Particle-swarp-optimization30,ex6_2_9,44.9115120001,21560
5,Particle-swarp-optimization30,ex6_2_9,45.4498820001,21560
1,Particle-swarp-optimization30,ex6_2_12,14.7547080001,7732
2,Particle-swarp-optimization30,ex6_2_12,14.5082450001,7732
3,Particle-swarp-optimization30,ex6_2_12,14.5382010001,7732
4,Particle-swarp-optimization30,ex6_2_12,14.5924730001,7732
5,Particle-swarp-optimization30,ex6_2_12,14.6870400001,7732
1,Particle-swarp-optimization30,ex8_4_4bis,161.234081001,76766
2,Particle-swarp-optimization30,ex8_4_4bis,160.272617001,76804
3,Particle-swarp-optimization30,ex8_4_4bis,162.392953001,77592
4,Particle-swarp-optimization30,ex8_4_4bis,165.803307001,79554
5,Particle-swarp-optimization30,ex8_4_4bis,160.078153001,75962
1,Particle-swarp-optimization30,ex14_2_7,183.440509001,12360
2,Particle-swarp-optimization30,ex14_2_7,178.228222001,12220
3,Particle-swarp-optimization30,ex14_2_7,194.879113001,13158
4,Particle-swarp-optimization30,ex14_2_7,162.585941001,11238
5,Particle-swarp-optimization30,ex14_2_7,180.860394001,12270
1,Particle-swarp-optimization30,ex6_1_3bis,28.0952760001,11194
2,Particle-swarp-optimization30,ex6_1_3bis,28.1012730001,11194
3,Particle-swarp-optimization30,ex6_1_3bis,28.2657810001,11194
4,Particle-swarp-optimization30,ex6_1_3bis,28.2147320001,11194
5,Particle-swarp-optimization30,ex6_1_3bis,27.9474400001,11078
1,Particle-swarp-optimization30,ex2_1_9,18.8013990001,5278
2,Particle-swarp-optimization30,ex2_1_9,17.9576280001,5122
3,Particle-swarp-optimization30,ex2_1_9,18.3355530001,5172
4,Particle-swarp-optimization30,ex2_1_9,18.3612390001,5186
5,Particle-swarp-optimization30,ex2_1_9,18.6550570001,5224
1,Particle-swarp-optimization30,himmel16,48.3395930001,3772
2,Particle-swarp-optimization30,himmel16,46.3173080001,3758
3,Particle-swarp-optimization30,himmel16,56.2241740001,4766
4,Particle-swarp-optimization30,himmel16,52.8411990001,4262
5,Particle-swarp-optimization30,himmel16,48.7807360001,3900
1,Particle-swarp-optimization30,ex2_1_7,29.1092270001,2328
2,Particle-swarp-optimization30,ex2_1_7,29.8592620001,2412
3,Particle-swarp-optimization30,ex2_1_7,30.4707330001,2490
4,Particle-swarp-optimization30,ex2_1_7,30.1626310001,2474
5,Particle-swarp-optimization30,ex2_1_7,29.2300110001,2378
1,Particle-swarp-optimization30,ex2_1_8,26.8582630001,1938
2,Particle-swarp-optimization30,ex2_1_8,25.6149240001,1758
3,Particle-swarp-optimization30,ex2_1_8,22.5996170001,1620
4,Particle-swarp-optimization30,ex2_1_8,22.9199800001,1676
5,Particle-swarp-optimization30,ex2_1_8,25.2679590001,1762
1,Particle-swarp-optimization30,launch,8.39920600001,192
2,Particle-swarp-optimization30,launch,2.69045900001,52
3,Particle-swarp-optimization30,launch,7.59912700001,160
4,Particle-swarp-optimization30,launch,23.3720640001,884
5,Particle-swarp-optimization30,launch,10.5139010001,290
1,Particle-swarp-optimization30,"hs088
",362.840692001,1062
2,Particle-swarp-optimization30,"hs088
",349.237684001,1028
3,Particle-swarp-optimization30,"hs088
",363.554567001,1066
4,Particle-swarp-optimization30,"hs088
",362.207545001,1064
5,Particle-swarp-optimization30,"hs088
",374.828328001,1064
1,Particle-swarp-optimization30,"hs093
",1069.60999701,449116
2,Particle-swarp-optimization30,"hs093
",1043.20511401,438404
3,Particle-swarp-optimization30,"hs093
",993.358536001,406320
4,Particle-swarp-optimization30,"hs093
",990.198304001,401068
5,Particle-swarp-optimization30,"hs093
",1084.78870601,455230
1,Particle-swarp-optimization30,"hs102
",6514.07524201,918634
2,Particle-swarp-optimization30,"hs102
",6687.50932001,935916
3,Particle-swarp-optimization30,"hs102
",6662.82326101,965602
4,Particle-swarp-optimization30,"hs102
",6373.58466901,932902
5,Particle-swarp-optimization30,"hs102
",6133.70700201,907286
1,Particle-swarp-optimization30,"hs103
",1839.48260401,271386
2,Particle-swarp-optimization30,"hs103
",1640.84316201,247344
3,Particle-swarp-optimization30,"hs103
",1647.17053101,255542
4,Particle-swarp-optimization30,"hs103
",1611.45239201,244642
5,Particle-swarp-optimization30,"hs103
",1690.61204901,263498
1,Particle-swarp-optimization30,"hs108
",288.246221001,48130
2,Particle-swarp-optimization30,"hs108
",332.155779001,54780
3,Particle-swarp-optimization30,"hs108
",259.377187001,45582
4,Particle-swarp-optimization30,"hs108
",260.117387001,43684
5,Particle-swarp-optimization30,"hs108
",264.612526001,49536
1,Particle-swarp-optimization30,"hs113
",23.7193010001,3762
2,Particle-swarp-optimization30,"hs113
",23.1704870001,3666
3,Particle-swarp-optimization30,"hs113
",26.5433160001,4340
4,Particle-swarp-optimization30,"hs113
",24.5290590001,3976
5,Particle-swarp-optimization30,"hs113
",26.9117520001,4274
1,Particle-swarp-optimization30,"dualc5
",152.688486001,54736
2,Particle-swarp-optimization30,"dualc5
",151.334134001,54488
3,Particle-swarp-optimization30,"dualc5
",152.243124001,54488
4,Particle-swarp-optimization30,"dualc5
",151.203099001,54570
5,Particle-swarp-optimization30,"dualc5
",150.541487001,54464
1,Particle-swarp-optimization30,"dualc8
",1160.91767901,188150
2,Particle-swarp-optimization30,"dualc8
",1146.26540701,187242
3,Particle-swarp-optimization30,"dualc8
",1171.14141501,188802
4,Particle-swarp-optimization30,"dualc8
",1184.87884101,189344
5,Particle-swarp-optimization30,"dualc8
",1171.61800801,187904
