Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization50-5it,chem,4275.22571701,908924
2,Particle-swarp-optimization50-5it,chem,4210.26597601,898990
3,Particle-swarp-optimization50-5it,chem,4236.88195401,908422
4,Particle-swarp-optimization50-5it,chem,4378.37610801,906760
5,Particle-swarp-optimization50-5it,chem,4317.60230301,911094
1,Particle-swarp-optimization50-5it,chem-1,4247.96417301,908924
2,Particle-swarp-optimization50-5it,chem-1,4185.11324101,898990
3,Particle-swarp-optimization50-5it,chem-1,4239.61368701,908422
4,Particle-swarp-optimization50-5it,chem-1,4205.84257801,906760
5,Particle-swarp-optimization50-5it,chem-1,4311.90899801,911094
1,Particle-swarp-optimization50-5it,chembis,2275.17462701,479904
2,Particle-swarp-optimization50-5it,chembis,2320.50204801,478162
3,Particle-swarp-optimization50-5it,chembis,2321.32476901,492940
4,Particle-swarp-optimization50-5it,chembis,2267.68982001,478162
5,Particle-swarp-optimization50-5it,chembis,2318.42516101,492940
1,Particle-swarp-optimization50-5it,ex6_1_3,170.464343001,15882
2,Particle-swarp-optimization50-5it,ex6_1_3,179.120631001,17224
3,Particle-swarp-optimization50-5it,ex6_1_3,171.825638001,16036
4,Particle-swarp-optimization50-5it,ex6_1_3,159.518843001,15424
5,Particle-swarp-optimization50-5it,ex6_1_3,204.255486001,18744
2,Particle-swarp-optimization50-5it,ex6_2_10,992.961195001,330974
3,Particle-swarp-optimization50-5it,ex6_2_10,995.668916001,330974
4,Particle-swarp-optimization50-5it,ex6_2_10,1000.21080801,330974
5,Particle-swarp-optimization50-5it,ex6_2_10,985.316908001,330758
1,Particle-swarp-optimization50-5it,ex8_5_1bis,19.5363110001,3686
2,Particle-swarp-optimization50-5it,ex8_5_1bis,24.9546080001,4664
3,Particle-swarp-optimization50-5it,ex8_5_1bis,21.8543060001,4114
4,Particle-swarp-optimization50-5it,ex8_5_1bis,25.3689070001,4794
5,Particle-swarp-optimization50-5it,ex8_5_1bis,24.0997770001,4544
1,Particle-swarp-optimization50-5it,sambal,4864.89649801,495942
2,Particle-swarp-optimization50-5it,sambal,4873.38484801,493266
3,Particle-swarp-optimization50-5it,sambal,4819.35596401,492272
4,Particle-swarp-optimization50-5it,sambal,5080.61555001,517524
5,Particle-swarp-optimization50-5it,sambal,4850.73969601,495942
1,Particle-swarp-optimization50-5it,ex6_2_6,106.941808001,60208
2,Particle-swarp-optimization50-5it,ex6_2_6,107.417249001,60334
3,Particle-swarp-optimization50-5it,ex6_2_6,106.829189001,59848
4,Particle-swarp-optimization50-5it,ex6_2_6,107.991746001,60124
5,Particle-swarp-optimization50-5it,ex6_2_6,107.090294001,60202
1,Particle-swarp-optimization50-5it,ex6_2_8,52.8306450001,31744
2,Particle-swarp-optimization50-5it,ex6_2_8,52.8769180001,31790
3,Particle-swarp-optimization50-5it,ex6_2_8,52.8464830001,31836
4,Particle-swarp-optimization50-5it,ex6_2_8,52.4771240001,31648
5,Particle-swarp-optimization50-5it,ex6_2_8,52.9542210001,31836
1,Particle-swarp-optimization50-5it,ex6_2_9,44.8743570001,21502
2,Particle-swarp-optimization50-5it,ex6_2_9,45.2519770001,21502
3,Particle-swarp-optimization50-5it,ex6_2_9,44.8924220001,21502
4,Particle-swarp-optimization50-5it,ex6_2_9,45.6231940001,21560
5,Particle-swarp-optimization50-5it,ex6_2_9,45.0231320001,21560
1,Particle-swarp-optimization50-5it,ex6_2_12,14.8566090001,7732
2,Particle-swarp-optimization50-5it,ex6_2_12,14.7157750001,7732
3,Particle-swarp-optimization50-5it,ex6_2_12,14.7084280001,7732
4,Particle-swarp-optimization50-5it,ex6_2_12,14.6665880001,7732
5,Particle-swarp-optimization50-5it,ex6_2_12,14.8580960001,7732
1,Particle-swarp-optimization50-5it,ex8_4_4bis,164.149529001,78896
2,Particle-swarp-optimization50-5it,ex8_4_4bis,162.074929001,76698
3,Particle-swarp-optimization50-5it,ex8_4_4bis,164.698874001,78232
4,Particle-swarp-optimization50-5it,ex8_4_4bis,164.115984001,77868
5,Particle-swarp-optimization50-5it,ex8_4_4bis,163.778619001,78420
1,Particle-swarp-optimization50-5it,ex14_2_7,147.567203001,9866
2,Particle-swarp-optimization50-5it,ex14_2_7,189.401562001,12564
3,Particle-swarp-optimization50-5it,ex14_2_7,224.858622001,13946
4,Particle-swarp-optimization50-5it,ex14_2_7,202.008321001,13654
5,Particle-swarp-optimization50-5it,ex14_2_7,158.281779001,10584
1,Particle-swarp-optimization50-5it,ex6_1_3bis,29.4593100001,11194
2,Particle-swarp-optimization50-5it,ex6_1_3bis,28.8111280001,11194
3,Particle-swarp-optimization50-5it,ex6_1_3bis,28.1612570001,11194
4,Particle-swarp-optimization50-5it,ex6_1_3bis,27.7138260001,11194
5,Particle-swarp-optimization50-5it,ex6_1_3bis,27.6698470001,11078
1,Particle-swarp-optimization50-5it,ex2_1_9,18.0339040001,5278
2,Particle-swarp-optimization50-5it,ex2_1_9,17.1902290001,5122
3,Particle-swarp-optimization50-5it,ex2_1_9,17.5109680001,5172
4,Particle-swarp-optimization50-5it,ex2_1_9,17.5239500001,5186
5,Particle-swarp-optimization50-5it,ex2_1_9,17.6937320001,5224
1,Particle-swarp-optimization50-5it,himmel16,42.5490790001,3710
2,Particle-swarp-optimization50-5it,himmel16,31.4681510001,2782
3,Particle-swarp-optimization50-5it,himmel16,31.3232240001,2782
4,Particle-swarp-optimization50-5it,himmel16,28.5812200001,2324
5,Particle-swarp-optimization50-5it,himmel16,21.4960580001,1698
1,Particle-swarp-optimization50-5it,ex2_1_7,28.4385620001,2374
2,Particle-swarp-optimization50-5it,ex2_1_7,28.9422270001,2428
3,Particle-swarp-optimization50-5it,ex2_1_7,28.8996980001,2438
4,Particle-swarp-optimization50-5it,ex2_1_7,29.6515720001,2468
5,Particle-swarp-optimization50-5it,ex2_1_7,28.9252360001,2424
1,Particle-swarp-optimization50-5it,ex2_1_8,25.4886370001,1902
2,Particle-swarp-optimization50-5it,ex2_1_8,25.8014800001,1904
3,Particle-swarp-optimization50-5it,ex2_1_8,24.5656990001,1776
4,Particle-swarp-optimization50-5it,ex2_1_8,21.8092510001,1676
5,Particle-swarp-optimization50-5it,ex2_1_8,24.5230490001,1762
1,Particle-swarp-optimization50-5it,launch,11.0164120001,310
2,Particle-swarp-optimization50-5it,launch,9.74556100001,244
3,Particle-swarp-optimization50-5it,launch,7.71123200001,180
4,Particle-swarp-optimization50-5it,launch,15.2837300001,480
5,Particle-swarp-optimization50-5it,launch,9.80692300001,228
1,Particle-swarp-optimization50-5it,"hs088
",340.087235001,1066
2,Particle-swarp-optimization50-5it,"hs088
",383.448937001,1206
3,Particle-swarp-optimization50-5it,"hs088
",334.256456001,1026
4,Particle-swarp-optimization50-5it,"hs088
",340.309467001,1058
5,Particle-swarp-optimization50-5it,"hs088
",353.754501001,1080
1,Particle-swarp-optimization50-5it,"hs093
",956.395474001,404008
2,Particle-swarp-optimization50-5it,"hs093
",1065.04579101,465082
3,Particle-swarp-optimization50-5it,"hs093
",1048.46177001,456914
4,Particle-swarp-optimization50-5it,"hs093
",1044.92236001,454142
5,Particle-swarp-optimization50-5it,"hs093
",1031.68722201,450314
1,Particle-swarp-optimization50-5it,"hs102
",6197.22121801,889768
2,Particle-swarp-optimization50-5it,"hs102
",6034.97408501,892984
3,Particle-swarp-optimization50-5it,"hs102
",6266.68622901,950480
4,Particle-swarp-optimization50-5it,"hs102
",6348.52471501,974496
5,Particle-swarp-optimization50-5it,"hs102
",6472.43714301,959100
1,Particle-swarp-optimization50-5it,"hs103
",1734.69970501,252388
2,Particle-swarp-optimization50-5it,"hs103
",1701.91229601,246076
3,Particle-swarp-optimization50-5it,"hs103
",1682.64786101,241562
4,Particle-swarp-optimization50-5it,"hs103
",1776.75961101,254846
5,Particle-swarp-optimization50-5it,"hs103
",1638.88107401,248694
1,Particle-swarp-optimization50-5it,"hs108
",285.440741001,47348
2,Particle-swarp-optimization50-5it,"hs108
",336.647043001,59312
3,Particle-swarp-optimization50-5it,"hs108
",257.692755001,44762
4,Particle-swarp-optimization50-5it,"hs108
",279.812971001,48188
5,Particle-swarp-optimization50-5it,"hs108
",264.116482001,46510
1,Particle-swarp-optimization50-5it,"hs113
",25.2789040001,4002
2,Particle-swarp-optimization50-5it,"hs113
",25.7588840001,4010
3,Particle-swarp-optimization50-5it,"hs113
",24.5652920001,3830
4,Particle-swarp-optimization50-5it,"hs113
",27.3936890001,4268
5,Particle-swarp-optimization50-5it,"hs113
",22.9202270001,3612
1,Particle-swarp-optimization50-5it,"dualc5
",152.693646001,54736
2,Particle-swarp-optimization50-5it,"dualc5
",152.644001001,54488
3,Particle-swarp-optimization50-5it,"dualc5
",152.355567001,54488
4,Particle-swarp-optimization50-5it,"dualc5
",154.342695001,54570
5,Particle-swarp-optimization50-5it,"dualc5
",152.497550001,54464
1,Particle-swarp-optimization50-5it,"dualc8
",1136.43254801,188354
2,Particle-swarp-optimization50-5it,"dualc8
",1104.67595401,185862
3,Particle-swarp-optimization50-5it,"dualc8
",1100.22202301,188128
4,Particle-swarp-optimization50-5it,"dualc8
",1124.97120901,188332
5,Particle-swarp-optimization50-5it,"dualc8
",1113.17733501,189936
1,Particle-swarp-optimization50-5it,"mistake
",2444.14370801,488756
2,Particle-swarp-optimization50-5it,"mistake
",2111.87699201,417188
3,Particle-swarp-optimization50-5it,"mistake
",2232.85303901,445478
4,Particle-swarp-optimization50-5it,"mistake
",2493.67786701,495732
5,Particle-swarp-optimization50-5it,"mistake
",2355.39813901,498074
1,Particle-swarp-optimization50-5it,"odfits
",62.0901500001,17878
2,Particle-swarp-optimization50-5it,"odfits
",62.2020960001,18140
3,Particle-swarp-optimization50-5it,"odfits
",62.2411950001,18158
4,Particle-swarp-optimization50-5it,"odfits
",61.2811680001,17922
5,Particle-swarp-optimization50-5it,"odfits
",61.2340030001,17970
1,Particle-swarp-optimization50-5it,ex2_1_9bis,172.453375001,75080
2,Particle-swarp-optimization50-5it,ex2_1_9bis,173.084326001,74842
3,Particle-swarp-optimization50-5it,ex2_1_9bis,171.764892001,74748
4,Particle-swarp-optimization50-5it,ex2_1_9bis,172.816513001,74532
5,Particle-swarp-optimization50-5it,ex2_1_9bis,170.753218001,74338
