Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Particle-swarp-optimization70,chem,5759.91142801,904194
2,Particle-swarp-optimization70,chem,5684.42806101,906164
3,Particle-swarp-optimization70,chem,5873.20316501,910234
4,Particle-swarp-optimization70,chem,5781.54331201,904568
5,Particle-swarp-optimization70,chem,5771.71163801,911558
1,Particle-swarp-optimization70,chem-1,5694.83040701,904194
2,Particle-swarp-optimization70,chem-1,5706.43446601,906164
3,Particle-swarp-optimization70,chem-1,6039.95062501,910234
4,Particle-swarp-optimization70,chem-1,5983.53752001,904568
5,Particle-swarp-optimization70,chem-1,5999.28361401,911558
1,Particle-swarp-optimization70,chembis,3073.05462601,480624
2,Particle-swarp-optimization70,chembis,3094.36433801,483772
3,Particle-swarp-optimization70,chembis,3134.51357101,484584
4,Particle-swarp-optimization70,chembis,3107.33028401,483772
5,Particle-swarp-optimization70,chembis,3112.60993301,484584
1,Particle-swarp-optimization70,ex6_1_3,250.664674001,18586
2,Particle-swarp-optimization70,ex6_1_3,241.612984001,17612
3,Particle-swarp-optimization70,ex6_1_3,219.632666001,16194
4,Particle-swarp-optimization70,ex6_1_3,214.301534001,15308
5,Particle-swarp-optimization70,ex6_1_3,231.721648001,16910
1,Particle-swarp-optimization70,ex6_2_10,1286.12231601,330568
3,Particle-swarp-optimization70,ex6_2_10,1253.31535501,330568
5,Particle-swarp-optimization70,ex6_2_10,1264.49008201,330568
1,Particle-swarp-optimization70,ex8_5_1bis,35.5643720001,4418
2,Particle-swarp-optimization70,ex8_5_1bis,32.9529450001,4200
3,Particle-swarp-optimization70,ex8_5_1bis,33.9747030001,4364
4,Particle-swarp-optimization70,ex8_5_1bis,33.0940670001,4334
5,Particle-swarp-optimization70,ex8_5_1bis,33.9481270001,4364
1,Particle-swarp-optimization70,sambal,6093.83550601,489656
2,Particle-swarp-optimization70,sambal,6305.02367101,526914
3,Particle-swarp-optimization70,sambal,5762.45268501,487828
4,Particle-swarp-optimization70,sambal,6165.96284901,522374
5,Particle-swarp-optimization70,sambal,5971.04316101,526612
1,Particle-swarp-optimization70,ex6_2_6,115.700716001,59734
2,Particle-swarp-optimization70,ex6_2_6,121.240497001,60160
3,Particle-swarp-optimization70,ex6_2_6,123.788749001,60072
4,Particle-swarp-optimization70,ex6_2_6,116.094439001,60158
5,Particle-swarp-optimization70,ex6_2_6,116.860498001,60160
1,Particle-swarp-optimization70,ex6_2_8,58.2873490001,31906
2,Particle-swarp-optimization70,ex6_2_8,58.5918800001,31890
3,Particle-swarp-optimization70,ex6_2_8,58.8806460001,31772
4,Particle-swarp-optimization70,ex6_2_8,58.8421860001,31890
5,Particle-swarp-optimization70,ex6_2_8,58.6131600001,31890
1,Particle-swarp-optimization70,ex6_2_9,51.7330040001,21522
2,Particle-swarp-optimization70,ex6_2_9,52.1355260001,21522
3,Particle-swarp-optimization70,ex6_2_9,51.4833490001,21522
4,Particle-swarp-optimization70,ex6_2_9,51.8347020001,21456
5,Particle-swarp-optimization70,ex6_2_9,51.6096690001,21456
1,Particle-swarp-optimization70,ex6_2_12,17.1505120001,7750
2,Particle-swarp-optimization70,ex6_2_12,17.4152200001,7750
3,Particle-swarp-optimization70,ex6_2_12,17.3657940001,7750
4,Particle-swarp-optimization70,ex6_2_12,17.3371440001,7750
5,Particle-swarp-optimization70,ex6_2_12,17.3279280001,7750
1,Particle-swarp-optimization70,ex8_4_4bis,187.005761001,77190
2,Particle-swarp-optimization70,ex8_4_4bis,186.438416001,76724
3,Particle-swarp-optimization70,ex8_4_4bis,189.325564001,78494
4,Particle-swarp-optimization70,ex8_4_4bis,179.850639001,74574
5,Particle-swarp-optimization70,ex8_4_4bis,185.850926001,76268
1,Particle-swarp-optimization70,ex14_2_7,357.767795001,14634
2,Particle-swarp-optimization70,ex14_2_7,292.684093001,11944
3,Particle-swarp-optimization70,ex14_2_7,295.715032001,12208
4,Particle-swarp-optimization70,ex14_2_7,262.326916001,10396
5,Particle-swarp-optimization70,ex14_2_7,273.243105001,11290
1,Particle-swarp-optimization70,ex6_1_3bis,33.5259560001,11106
2,Particle-swarp-optimization70,ex6_1_3bis,33.2510220001,11106
3,Particle-swarp-optimization70,ex6_1_3bis,33.4999450001,11106
4,Particle-swarp-optimization70,ex6_1_3bis,33.1681120001,11106
5,Particle-swarp-optimization70,ex6_1_3bis,33.0674150001,11106
1,Particle-swarp-optimization70,ex2_1_9,20.1941850001,5158
2,Particle-swarp-optimization70,ex2_1_9,19.7798220001,5168
3,Particle-swarp-optimization70,ex2_1_9,20.3134230001,5188
4,Particle-swarp-optimization70,ex2_1_9,20.1552180001,5182
5,Particle-swarp-optimization70,ex2_1_9,20.5761010001,5352
1,Particle-swarp-optimization70,himmel16,58.8758250001,3710
2,Particle-swarp-optimization70,himmel16,52.1791270001,3278
3,Particle-swarp-optimization70,himmel16,52.4439980001,3278
4,Particle-swarp-optimization70,himmel16,43.6381220001,2908
5,Particle-swarp-optimization70,himmel16,61.7842140001,3938
1,Particle-swarp-optimization70,ex2_1_7,38.3156710001,2422
2,Particle-swarp-optimization70,ex2_1_7,38.1092830001,2400
3,Particle-swarp-optimization70,ex2_1_7,38.3875430001,2430
4,Particle-swarp-optimization70,ex2_1_7,38.2004640001,2442
5,Particle-swarp-optimization70,ex2_1_7,38.6102830001,2448
1,Particle-swarp-optimization70,ex2_1_8,27.1223640001,1702
2,Particle-swarp-optimization70,ex2_1_8,31.8853430001,1902
3,Particle-swarp-optimization70,ex2_1_8,25.7836340001,1624
4,Particle-swarp-optimization70,ex2_1_8,27.8367550001,1678
5,Particle-swarp-optimization70,ex2_1_8,24.8276310001,1552
1,Particle-swarp-optimization70,launch,7.21066700001,124
2,Particle-swarp-optimization70,launch,24.3517380001,620
3,Particle-swarp-optimization70,launch,15.9535570001,322
4,Particle-swarp-optimization70,launch,11.9421270001,226
5,Particle-swarp-optimization70,launch,12.3505230001,224
1,Particle-swarp-optimization70,"hs088
",609.563940001,1074
2,Particle-swarp-optimization70,"hs088
",607.992741001,1046
3,Particle-swarp-optimization70,"hs088
",689.187269001,1204
4,Particle-swarp-optimization70,"hs088
",627.018736001,1088
5,Particle-swarp-optimization70,"hs088
",613.962558001,1042
1,Particle-swarp-optimization70,"hs093
",1110.61514001,385600
2,Particle-swarp-optimization70,"hs093
",1190.96401401,414342
3,Particle-swarp-optimization70,"hs093
",1187.11762601,401036
4,Particle-swarp-optimization70,"hs093
",1239.19815001,414540
5,Particle-swarp-optimization70,"hs093
",1237.78578501,413032
1,Particle-swarp-optimization70,"hs102
",10210.0847111,948962
2,Particle-swarp-optimization70,"hs102
",9208.13221401,928906
3,Particle-swarp-optimization70,"hs102
",8542.36055501,903638
4,Particle-swarp-optimization70,"hs102
",8180.58804601,940842
5,Particle-swarp-optimization70,"hs102
",7836.55074401,917790
1,Particle-swarp-optimization70,"hs103
",2075.68115401,249586
2,Particle-swarp-optimization70,"hs103
",2025.20468301,256248
3,Particle-swarp-optimization70,"hs103
",1843.29530701,262600
4,Particle-swarp-optimization70,"hs103
",1744.80133101,247228
5,Particle-swarp-optimization70,"hs103
",1770.29924701,251754
1,Particle-swarp-optimization70,"hs108
",259.392014001,46160
2,Particle-swarp-optimization70,"hs108
",236.067877001,44430
3,Particle-swarp-optimization70,"hs108
",262.588581001,47322
4,Particle-swarp-optimization70,"hs108
",235.248479001,44232
5,Particle-swarp-optimization70,"hs108
",247.516562001,44124
1,Particle-swarp-optimization70,"hs113
",21.2982820001,3676
2,Particle-swarp-optimization70,"hs113
",22.4083540001,3890
