Seed,Solucion Empleada,Problema,Tiempo,Nodos
2,Hybrid-sa-pso50,ex2_1_8,24.9992960001,1666
3,Hybrid-sa-pso50,ex2_1_8,24.0333090001,1648
4,Hybrid-sa-pso50,ex2_1_8,27.1763930001,1844
5,Hybrid-sa-pso50,ex2_1_8,27.5526090001,1700
1,Hybrid-sa-pso50,launch,2.60679600001,42
2,Hybrid-sa-pso50,launch,5.58289700001,94
3,Hybrid-sa-pso50,launch,9.03308400001,176
4,Hybrid-sa-pso50,launch,11.0435850001,208
5,Hybrid-sa-pso50,launch,12.4762410001,250
1,Hybrid-sa-pso50,"hs088
",606.911511001,1072
2,Hybrid-sa-pso50,"hs088
",632.012368001,1098
3,Hybrid-sa-pso50,"hs088
",592.484390001,1050
4,Hybrid-sa-pso50,"hs088
",624.808737001,1082
5,Hybrid-sa-pso50,"hs088
",611.258365001,1052
1,Hybrid-sa-pso50,"hs093
",1275.79858301,457062
2,Hybrid-sa-pso50,"hs093
",1247.55058701,447572
3,Hybrid-sa-pso50,"hs093
",1246.28066101,447762
4,Hybrid-sa-pso50,"hs093
",1160.50560301,412364
5,Hybrid-sa-pso50,"hs093
",1225.44705801,443140
1,Hybrid-sa-pso50,"hs102
",9474.73153101,926982
2,Hybrid-sa-pso50,"hs102
",11182.7226841,929344
3,Hybrid-sa-pso50,"hs102
",11613.8641181,944346
4,Hybrid-sa-pso50,"hs102
",10897.2764461,900988
5,Hybrid-sa-pso50,"hs102
",11697.5440091,945228
1,Hybrid-sa-pso50,"hs103
",3110.98627801,251034
2,Hybrid-sa-pso50,"hs103
",3265.57843501,267822
3,Hybrid-sa-pso50,"hs103
",3176.55151701,253530
4,Hybrid-sa-pso50,"hs103
",3270.83476701,260048
5,Hybrid-sa-pso50,"hs103
",3382.03122901,275360
1,Hybrid-sa-pso50,"hs108
",448.108780001,50542
2,Hybrid-sa-pso50,"hs108
",457.765345001,51390
3,Hybrid-sa-pso50,"hs108
",392.426198001,43046
4,Hybrid-sa-pso50,"hs108
",448.114840001,49922
