Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hybrid-sa-pso30-5it,chem,4299.84647401,908648
2,Hybrid-sa-pso30-5it,chem,4202.12549301,903854
3,Hybrid-sa-pso30-5it,chem,4207.21447501,902964
4,Hybrid-sa-pso30-5it,chem,4191.24073701,902068
5,Hybrid-sa-pso30-5it,chem,4295.13745201,907720
1,Hybrid-sa-pso30-5it,chem-1,4272.89247101,908648
2,Hybrid-sa-pso30-5it,chem-1,4185.38766701,903854
3,Hybrid-sa-pso30-5it,chem-1,4208.58078501,902964
4,Hybrid-sa-pso30-5it,chem-1,4176.23255701,902068
5,Hybrid-sa-pso30-5it,chem-1,4240.48376901,907720
1,Hybrid-sa-pso30-5it,chembis,2089.10173101,485094
2,Hybrid-sa-pso30-5it,chembis,2069.95046401,482024
3,Hybrid-sa-pso30-5it,chembis,2086.49688101,486292
4,Hybrid-sa-pso30-5it,chembis,2062.77243101,482024
5,Hybrid-sa-pso30-5it,chembis,2071.60831501,486292
1,Hybrid-sa-pso30-5it,ex6_1_3,152.575146001,16422
2,Hybrid-sa-pso30-5it,ex6_1_3,146.488182001,17524
3,Hybrid-sa-pso30-5it,ex6_1_3,178.945316001,18078
4,Hybrid-sa-pso30-5it,ex6_1_3,171.987642001,17858
5,Hybrid-sa-pso30-5it,ex6_1_3,144.548527001,14872
1,Hybrid-sa-pso30-5it,ex6_2_10,926.788560001,330730
2,Hybrid-sa-pso30-5it,ex6_2_10,919.598155001,330730
3,Hybrid-sa-pso30-5it,ex6_2_10,911.896905001,330400
4,Hybrid-sa-pso30-5it,ex6_2_10,909.713140001,330400
5,Hybrid-sa-pso30-5it,ex6_2_10,915.198129001,330400
1,Hybrid-sa-pso30-5it,ex8_5_1bis,19.4532260001,4094
2,Hybrid-sa-pso30-5it,ex8_5_1bis,20.8992270001,4308
3,Hybrid-sa-pso30-5it,ex8_5_1bis,22.5153340001,4660
4,Hybrid-sa-pso30-5it,ex8_5_1bis,19.7117740001,4220
5,Hybrid-sa-pso30-5it,ex8_5_1bis,19.3085050001,4154
1,Hybrid-sa-pso30-5it,sambal,4614.91415801,530664
2,Hybrid-sa-pso30-5it,sambal,4178.04587501,486528
3,Hybrid-sa-pso30-5it,sambal,4031.31178901,468248
4,Hybrid-sa-pso30-5it,sambal,4171.77395201,486528
5,Hybrid-sa-pso30-5it,sambal,4589.49024701,510276
1,Hybrid-sa-pso30-5it,ex6_2_6,98.3489790001,59800
2,Hybrid-sa-pso30-5it,ex6_2_6,98.9485100001,60196
3,Hybrid-sa-pso30-5it,ex6_2_6,98.9609220001,60386
4,Hybrid-sa-pso30-5it,ex6_2_6,98.0466690001,59814
5,Hybrid-sa-pso30-5it,ex6_2_6,97.1545350001,59814
1,Hybrid-sa-pso30-5it,ex6_2_8,48.2888030001,31834
2,Hybrid-sa-pso30-5it,ex6_2_8,48.3872810001,31678
3,Hybrid-sa-pso30-5it,ex6_2_8,48.6594440001,31704
4,Hybrid-sa-pso30-5it,ex6_2_8,48.6392100001,31832
5,Hybrid-sa-pso30-5it,ex6_2_8,48.9491670001,31798
