Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hybrid-sa-pso30,chem,4164.76645301,905616
2,Hybrid-sa-pso30,chem,4203.59896401,907738
3,Hybrid-sa-pso30,chem,4381.80464601,907068
4,Hybrid-sa-pso30,chem,4503.42719101,908766
5,Hybrid-sa-pso30,chem,4490.21754201,910666
1,Hybrid-sa-pso30,chem-1,4482.31225201,905616
2,Hybrid-sa-pso30,chem-1,4456.81213001,907738
3,Hybrid-sa-pso30,chem-1,4226.78855201,907068
4,Hybrid-sa-pso30,chem-1,4178.07064401,908766
5,Hybrid-sa-pso30,chem-1,4175.54194101,910666
1,Hybrid-sa-pso30,chembis,2213.47592101,498018
2,Hybrid-sa-pso30,chembis,2157.37535201,482946
3,Hybrid-sa-pso30,chembis,2167.13708701,480596
4,Hybrid-sa-pso30,chembis,2141.27424001,482946
5,Hybrid-sa-pso30,chembis,2136.93538001,480596
1,Hybrid-sa-pso30,ex6_1_3,167.761986001,18250
2,Hybrid-sa-pso30,ex6_1_3,167.667550001,17136
3,Hybrid-sa-pso30,ex6_1_3,184.716873001,19218
4,Hybrid-sa-pso30,ex6_1_3,151.346752001,15464
5,Hybrid-sa-pso30,ex6_1_3,166.832115001,17280
1,Hybrid-sa-pso30,ex6_2_10,893.959997001,330948
2,Hybrid-sa-pso30,ex6_2_10,898.238446001,330948
3,Hybrid-sa-pso30,ex6_2_10,889.260232001,330944
4,Hybrid-sa-pso30,ex6_2_10,892.414097001,330944
5,Hybrid-sa-pso30,ex6_2_10,896.542112001,330948
1,Hybrid-sa-pso30,ex8_5_1bis,23.3428360001,4412
2,Hybrid-sa-pso30,ex8_5_1bis,20.1983850001,3960
3,Hybrid-sa-pso30,ex8_5_1bis,22.3306600001,4330
4,Hybrid-sa-pso30,ex8_5_1bis,22.3674300001,4354
5,Hybrid-sa-pso30,ex8_5_1bis,24.3570630001,4626
1,Hybrid-sa-pso30,sambal,4660.28394401,517784
2,Hybrid-sa-pso30,sambal,4528.33272701,505404
3,Hybrid-sa-pso30,sambal,4622.61352201,518148
4,Hybrid-sa-pso30,sambal,4486.41258301,469526
5,Hybrid-sa-pso30,sambal,4517.14602901,475662
1,Hybrid-sa-pso30,ex6_2_6,98.6853930001,60220
2,Hybrid-sa-pso30,ex6_2_6,99.7245980001,60106
3,Hybrid-sa-pso30,ex6_2_6,99.9901530001,59664
4,Hybrid-sa-pso30,ex6_2_6,100.122909001,60594
5,Hybrid-sa-pso30,ex6_2_6,99.7785390001,60492
1,Hybrid-sa-pso30,ex6_2_8,49.3824940001,31890
2,Hybrid-sa-pso30,ex6_2_8,49.9437850001,31728
3,Hybrid-sa-pso30,ex6_2_8,49.7747450001,31768
4,Hybrid-sa-pso30,ex6_2_8,50.1315540001,31792
5,Hybrid-sa-pso30,ex6_2_8,49.2295570001,31802
1,Hybrid-sa-pso30,ex6_2_9,43.2985250001,21476
2,Hybrid-sa-pso30,ex6_2_9,43.4228090001,21476
3,Hybrid-sa-pso30,ex6_2_9,43.5115790001,21476
4,Hybrid-sa-pso30,ex6_2_9,43.7258120001,21558
5,Hybrid-sa-pso30,ex6_2_9,43.3478120001,21558
1,Hybrid-sa-pso30,ex6_2_12,14.3982360001,7720
2,Hybrid-sa-pso30,ex6_2_12,14.1759070001,7720
3,Hybrid-sa-pso30,ex6_2_12,14.2841180001,7720
4,Hybrid-sa-pso30,ex6_2_12,14.3051150001,7720
5,Hybrid-sa-pso30,ex6_2_12,14.3548900001,7720
