Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hybrid-sa-pso70,chem,6182.45957701,905556
2,Hybrid-sa-pso70,chem,6414.46092101,902362
3,Hybrid-sa-pso70,chem,6783.88311901,905750
4,Hybrid-sa-pso70,chem,6653.12550701,903178
5,Hybrid-sa-pso70,chem,6619.97743501,908458
1,Hybrid-sa-pso70,chem-1,6232.19703801,905556
2,Hybrid-sa-pso70,chem-1,6225.33002901,902362
3,Hybrid-sa-pso70,chem-1,6241.29239401,905750
4,Hybrid-sa-pso70,chem-1,6179.37494701,903178
5,Hybrid-sa-pso70,chem-1,6235.69052001,908458
1,Hybrid-sa-pso70,chembis,3299.86467001,483426
2,Hybrid-sa-pso70,chembis,3238.02019501,481132
3,Hybrid-sa-pso70,chembis,3259.66544001,482600
4,Hybrid-sa-pso70,chembis,3420.23508701,481454
5,Hybrid-sa-pso70,chembis,3447.03211501,482600
1,Hybrid-sa-pso70,ex6_1_3,285.164724001,19476
2,Hybrid-sa-pso70,ex6_1_3,249.308730001,16730
3,Hybrid-sa-pso70,ex6_1_3,238.838720001,16062
4,Hybrid-sa-pso70,ex6_1_3,244.099125001,17370
5,Hybrid-sa-pso70,ex6_1_3,241.208375001,16546
2,Hybrid-sa-pso70,ex6_2_10,1324.86570501,330478
1,Hybrid-sa-pso70,ex8_5_1bis,35.8576200001,3858
2,Hybrid-sa-pso70,ex8_5_1bis,44.4747750001,4678
3,Hybrid-sa-pso70,ex8_5_1bis,40.1594140001,4324
4,Hybrid-sa-pso70,ex8_5_1bis,41.7306020001,4540
5,Hybrid-sa-pso70,ex8_5_1bis,39.8662350001,4380
1,Hybrid-sa-pso70,sambal,6564.05115101,510018
2,Hybrid-sa-pso70,sambal,6050.24177801,494564
3,Hybrid-sa-pso70,sambal,6046.29384101,493856
4,Hybrid-sa-pso70,sambal,6412.64061401,489652
5,Hybrid-sa-pso70,sambal,6695.57776501,516954
1,Hybrid-sa-pso70,ex6_2_6,117.588565001,59988
2,Hybrid-sa-pso70,ex6_2_6,123.394416001,60260
3,Hybrid-sa-pso70,ex6_2_6,113.348671001,60128
4,Hybrid-sa-pso70,ex6_2_6,122.884707001,60072
5,Hybrid-sa-pso70,ex6_2_6,118.945818001,60240
1,Hybrid-sa-pso70,ex6_2_8,60.3497420001,31644
2,Hybrid-sa-pso70,ex6_2_8,63.9342810001,31798
3,Hybrid-sa-pso70,ex6_2_8,63.0597820001,31786
4,Hybrid-sa-pso70,ex6_2_8,62.5434790001,31702
5,Hybrid-sa-pso70,ex6_2_8,57.3649140001,31702
1,Hybrid-sa-pso70,ex6_2_9,52.3105710001,21530
2,Hybrid-sa-pso70,ex6_2_9,57.4753060001,21530
3,Hybrid-sa-pso70,ex6_2_9,56.8736340001,21530
4,Hybrid-sa-pso70,ex6_2_9,54.8494710001,21530
5,Hybrid-sa-pso70,ex6_2_9,49.8864840001,21530
1,Hybrid-sa-pso70,ex6_2_12,16.6121230001,7724
2,Hybrid-sa-pso70,ex6_2_12,16.9642280001,7724
3,Hybrid-sa-pso70,ex6_2_12,16.6662640001,7724
4,Hybrid-sa-pso70,ex6_2_12,16.6234600001,7806
5,Hybrid-sa-pso70,ex6_2_12,16.7261230001,7806
1,Hybrid-sa-pso70,ex8_4_4bis,189.294888001,76560
2,Hybrid-sa-pso70,ex8_4_4bis,178.799265001,75558
3,Hybrid-sa-pso70,ex8_4_4bis,186.615431001,78314
4,Hybrid-sa-pso70,ex8_4_4bis,192.187048001,78770
5,Hybrid-sa-pso70,ex8_4_4bis,181.543013001,77554
1,Hybrid-sa-pso70,ex14_2_7,244.152650001,8866
2,Hybrid-sa-pso70,ex14_2_7,417.168214001,14422
3,Hybrid-sa-pso70,ex14_2_7,363.704962001,12680
4,Hybrid-sa-pso70,ex14_2_7,320.079502001,11516
5,Hybrid-sa-pso70,ex14_2_7,306.881421001,10802
1,Hybrid-sa-pso70,ex6_1_3bis,31.8389900001,11112
2,Hybrid-sa-pso70,ex6_1_3bis,34.2441090001,11112
3,Hybrid-sa-pso70,ex6_1_3bis,33.9269990001,11112
4,Hybrid-sa-pso70,ex6_1_3bis,36.2946980001,11112
5,Hybrid-sa-pso70,ex6_1_3bis,36.7440500001,11236
1,Hybrid-sa-pso70,ex2_1_9,21.0692600001,5190
2,Hybrid-sa-pso70,ex2_1_9,21.4650100001,5192
3,Hybrid-sa-pso70,ex2_1_9,21.1734510001,5056
4,Hybrid-sa-pso70,ex2_1_9,19.9797780001,5098
5,Hybrid-sa-pso70,ex2_1_9,21.1575420001,5152
1,Hybrid-sa-pso70,himmel16,33.1643760001,1954
2,Hybrid-sa-pso70,himmel16,32.1250220001,1926
3,Hybrid-sa-pso70,himmel16,44.2580680001,2830
4,Hybrid-sa-pso70,himmel16,59.6083970001,3776
5,Hybrid-sa-pso70,himmel16,63.7800990001,3904
1,Hybrid-sa-pso70,ex2_1_7,40.6374650001,2460
2,Hybrid-sa-pso70,ex2_1_7,38.7093990001,2428
3,Hybrid-sa-pso70,ex2_1_7,38.1716720001,2480
4,Hybrid-sa-pso70,ex2_1_7,38.2404760001,2460
5,Hybrid-sa-pso70,ex2_1_7,38.2941510001,2410
1,Hybrid-sa-pso70,ex2_1_8,27.9572420001,1640
2,Hybrid-sa-pso70,ex2_1_8,27.5852720001,1638
3,Hybrid-sa-pso70,ex2_1_8,29.6981670001,1848
4,Hybrid-sa-pso70,ex2_1_8,28.0803820001,1730
5,Hybrid-sa-pso70,ex2_1_8,28.7639330001,1708
1,Hybrid-sa-pso70,launch,9.26614200001,154
2,Hybrid-sa-pso70,launch,9.80479300001,160
3,Hybrid-sa-pso70,launch,12.3006970001,230
4,Hybrid-sa-pso70,launch,15.4541810001,340
5,Hybrid-sa-pso70,launch,81.4385460001,2350
1,Hybrid-sa-pso70,"hs088
",1184.55651901,1080
2,Hybrid-sa-pso70,"hs088
",1078.95890101,1100
3,Hybrid-sa-pso70,"hs088
",1180.68482501,1172
4,Hybrid-sa-pso70,"hs088
",1116.80365601,1090
5,Hybrid-sa-pso70,"hs088
",1084.80249701,1068
1,Hybrid-sa-pso70,"hs093
",1477.84220501,403380
2,Hybrid-sa-pso70,"hs093
",1614.25662001,444058
3,Hybrid-sa-pso70,"hs093
",1631.12191001,449932
4,Hybrid-sa-pso70,"hs093
",1619.91522301,446346
5,Hybrid-sa-pso70,"hs093
",1424.44536301,384346
1,Hybrid-sa-pso70,"hs102
",14335.7062071,913646
2,Hybrid-sa-pso70,"hs102
",14486.5594371,932964
3,Hybrid-sa-pso70,"hs102
",15231.6631621,932172
4,Hybrid-sa-pso70,"hs102
",15309.8527861,944034
5,Hybrid-sa-pso70,"hs102
",14551.2092221,900846
1,Hybrid-sa-pso70,"hs103
",3732.49018401,249274
2,Hybrid-sa-pso70,"hs103
",3947.34113401,262592
3,Hybrid-sa-pso70,"hs103
",3741.56388801,249882
4,Hybrid-sa-pso70,"hs103
",3578.98136101,237830
5,Hybrid-sa-pso70,"hs103
",3841.36716201,263054
1,Hybrid-sa-pso70,"hs108
",356.714590001,35948
2,Hybrid-sa-pso70,"hs108
",448.002827001,44974
3,Hybrid-sa-pso70,"hs108
",436.647917001,44880
4,Hybrid-sa-pso70,"hs108
",436.670067001,43856
5,Hybrid-sa-pso70,"hs108
",431.937545001,44428
1,Hybrid-sa-pso70,"hs113
",41.7701960001,4022
2,Hybrid-sa-pso70,"hs113
",47.3893190001,4650
3,Hybrid-sa-pso70,"hs113
",41.1915960001,3990
4,Hybrid-sa-pso70,"hs113
",44.7271470001,4260
5,Hybrid-sa-pso70,"hs113
",43.6866010001,4256
1,Hybrid-sa-pso70,"dualc5
",225.066303001,54906
2,Hybrid-sa-pso70,"dualc5
",213.825189001,52496
3,Hybrid-sa-pso70,"dualc5
",222.280317001,54182
4,Hybrid-sa-pso70,"dualc5
",221.653008001,54344
5,Hybrid-sa-pso70,"dualc5
",223.265852001,54490
1,Hybrid-sa-pso70,"dualc8
",2981.08701001,189310
2,Hybrid-sa-pso70,"dualc8
",2968.53028101,189860
3,Hybrid-sa-pso70,"dualc8
",3026.96354801,191470
4,Hybrid-sa-pso70,"dualc8
",3002.73579601,190052
5,Hybrid-sa-pso70,"dualc8
",3108.19000501,188854
1,Hybrid-sa-pso70,"mistake
",4750.44114801,487592
