Seed,Solucion Empleada,Problema,Tiempo,Nodos
2,Particle-swarp-optimization50,ex2_1_8,25.3214910001,1628
3,Particle-swarp-optimization50,ex2_1_8,21.0237580001,1338
4,Particle-swarp-optimization50,ex2_1_8,24.5865130001,1642
5,Particle-swarp-optimization50,ex2_1_8,24.9813060001,1658
1,Particle-swarp-optimization50,launch,12.3214300001,244
2,Particle-swarp-optimization50,launch,10.1799500001,188
3,Particle-swarp-optimization50,launch,9.15508700001,170
4,Particle-swarp-optimization50,launch,7.46046600001,136
5,Particle-swarp-optimization50,launch,9.32902300001,176
1,Particle-swarp-optimization50,"hs088
",523.761804001,1054
2,Particle-swarp-optimization50,"hs088
",515.121254001,1080
3,Particle-swarp-optimization50,"hs088
",479.446619001,1082
4,Particle-swarp-optimization50,"hs088
",495.907603001,1080
5,Particle-swarp-optimization50,"hs088
",481.778952001,1124
1,Particle-swarp-optimization50,"hs093
",1007.77430001,395654
2,Particle-swarp-optimization50,"hs093
",1139.98087701,456720
3,Particle-swarp-optimization50,"hs093
",1144.44548701,461702
4,Particle-swarp-optimization50,"hs093
",1134.62131701,457200
5,Particle-swarp-optimization50,"hs093
",1175.91409201,471186
1,Particle-swarp-optimization50,"hs102
",7968.07552601,955264
2,Particle-swarp-optimization50,"hs102
",8150.81973101,934884
3,Particle-swarp-optimization50,"hs102
",8476.46899901,988250
4,Particle-swarp-optimization50,"hs102
",7388.40940001,944196
5,Particle-swarp-optimization50,"hs102
",7088.85070001,927162
1,Particle-swarp-optimization50,"hs103
",1959.32383501,272768
2,Particle-swarp-optimization50,"hs103
",1760.29632701,240738
3,Particle-swarp-optimization50,"hs103
",1892.31729901,269228
4,Particle-swarp-optimization50,"hs103
",1823.67302901,267672
5,Particle-swarp-optimization50,"hs103
",1699.93557601,249272
1,Particle-swarp-optimization50,"hs108
",274.067612001,48926
2,Particle-swarp-optimization50,"hs108
",222.084155001,40032
3,Particle-swarp-optimization50,"hs108
",264.063832001,49940
4,Particle-swarp-optimization50,"hs108
",216.031666001,38188
5,Particle-swarp-optimization50,"hs108
",282.352992001,51150
1,Particle-swarp-optimization50,"hs113
",23.4760980001,3848
2,Particle-swarp-optimization50,"hs113
",24.3076300001,4048
3,Particle-swarp-optimization50,"hs113
",24.5935480001,4028
4,Particle-swarp-optimization50,"hs113
",23.9644070001,3932
5,Particle-swarp-optimization50,"hs113
",27.4793940001,4688
1,Particle-swarp-optimization50,"dualc5
",136.896714001,53278
2,Particle-swarp-optimization50,"dualc5
",139.525811001,53644
3,Particle-swarp-optimization50,"dualc5
",141.157933001,54448
4,Particle-swarp-optimization50,"dualc5
",142.395774001,54830
5,Particle-swarp-optimization50,"dualc5
",135.945181001,52172
1,Particle-swarp-optimization50,"dualc8
",1314.76867401,188472
2,Particle-swarp-optimization50,"dualc8
",1304.50085501,185758
3,Particle-swarp-optimization50,"dualc8
",1290.02666101,188250
4,Particle-swarp-optimization50,"dualc8
",1278.53401501,185332
5,Particle-swarp-optimization50,"dualc8
",1297.00732001,185758
1,Particle-swarp-optimization50,"mistake
",2346.05884801,450030
2,Particle-swarp-optimization50,"mistake
",2279.43235001,452388
3,Particle-swarp-optimization50,"mistake
",2045.41549601,460872
4,Particle-swarp-optimization50,"mistake
",2158.22373201,489948
5,Particle-swarp-optimization50,"mistake
",2068.34146401,474800
1,Particle-swarp-optimization50,"odfits
",58.0621040001,18190
2,Particle-swarp-optimization50,"odfits
",59.1929430001,18128
3,Particle-swarp-optimization50,"odfits
",57.9743940001,18046
4,Particle-swarp-optimization50,"odfits
",60.1472710001,18466
5,Particle-swarp-optimization50,"odfits
",58.7440040001,17856
1,Particle-swarp-optimization50,ex2_1_9bis,153.342982001,74698
2,Particle-swarp-optimization50,ex2_1_9bis,152.032274001,74562
3,Particle-swarp-optimization50,ex2_1_9bis,147.932441001,74786
4,Particle-swarp-optimization50,ex2_1_9bis,149.327603001,74980
5,Particle-swarp-optimization50,ex2_1_9bis,149.762016001,75090
